Pot ID,Rep,Ovary present,Stamen present,Anthers present,# of tepals,Size,Notes
VA.17.5,5,4b,1,1,5,> 3,
MA.37.2,1,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.37.2,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.2,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.2,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.2,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.2,6,1,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.44.2,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.44.2,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NH.44.2,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NH.44.2,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NH.44.2,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
PA.23.4,1,4b,1,1,5,> 3,
PA.23.4,2,4b,1,1,5,3,
PA.23.4,3,4b,1,1,5,> 3,
PA.23.4,4,4b,1,1,5,> 3,
PA.23.4,5,4b,1,1,5,> 3,
VT.39.1,1,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.1,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.1,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.1,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.1,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.46.1,1,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.46.1,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.46.1,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.46.1,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.46.1,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.38.4,1,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.38.4,2,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.38.4,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.38.4,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.38.4,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.13.1,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.13.1,2,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.13.1,3,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.13.1,4,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.13.1,5,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.13.3A,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.13.3A,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.13.3A,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.13.3A,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.10.4,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.10.4,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.10.4,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.10.4,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.10.4,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.13.2,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.13.2,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.13.2,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.13.2,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.13.2,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MD.21.4,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MD.21.4,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MD.21.4,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MD.21.4,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MD.21.4,5,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.19.3,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.19.3,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.19.3,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.19.3,4,1,0,0,5,< 3 ,"stamen structures obvious, but not fully developed"
VA.19.3,5,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MD.21.3,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MD.21.3,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MD.21.3,3,4a,0,0,5,> 3,"stamen structures obvious, but not fully developed"
